============================================================
SKILL JUDGE REPORT
  [100] comfyui (0.01s)
  [100] concept-diagrams (0.00s)
  [100] content-research-writer (0.00s)
  [100] creative-ideation (0.00s)
  [100] design-md (0.01s)
  [100] excalidraw (0.01s)
  [100] excalidraw-diagram-generator (0.01s)
  [100] face-obscure-video-chat (0.01s)
  [100] frontend-design (0.01s)
  [100] html-artifact (0.01s)
  [100] humanizer (0.01s)
  [100] hyperframes (0.01s)
  [100] image-manipulation-image-magick (0.01s)
  [100] kanban-video-orchestrator (0.01s)
  [100] legacy-circuit-mockups (0.01s)
  [100] manim-video (0.00s)
  [100] marp-slide (0.01s)
  [100] meme-generation (0.01s)
  [100] mermaid-diagrams (0.01s)
  [100] p5js (0.01s)
  [100] penpot-uiux-design (0.00s)
  [100] pixel-art (0.01s)
  [100] plantuml-ascii (0.01s)
  [100] popular-web-designs (0.01s)
  [100] pretext (0.01s)
  [100] sketch (0.01s)
  [100] songwriting-and-ai-music (0.01s)
  [100] theme-factory (0.01s)
  [100] touchdesigner-mcp (0.00s)
  [100] vsdc-video-masking (0.00s)
  [100] web-artifacts-builder (0.00s)
  [100] writing-clearly-and-concisely (0.01s)
  [100] data-migration-scripts (0.01s)
  [100] jupyter-live-kernel (0.01s)
  [100] -agents-fix-discover (0.00s)
  [100] -agents-fix-report (0.00s)
  [100] -audit-prompts (0.01s)
  [100] -pathutil (0.00s)
  [100] -pending-skills-report (0.01s)
  [100] -verify-and-dedupe (0.00s)
  [100] add-hooks-to-config (0.01s)
  [100] add-mcp-servers (0.01s)
  [100] agents-system-prompt-context-fix-runner (0.00s)
  [100] ai-prompt-engineering-safety-review (0.00s)
  [100] align-tables (0.00s)
  [100] analyze-hf-models (0.01s)
  [100] analyze-prompt-library (0.00s)
  [100] analyze-prompt-library-v2 (0.00s)
  [100] analyze-prompts (0.00s)
  [100] analyze-skill-codeblocks (0.01s)
  [100] apply-pending-memory (0.00s)
  [100] apply-pending-skills (0.01s)
  [100] apply-vscode-customizations (0.00s)
  [100] asyncio (0.01s)
  [100] audit-227 (0.00s)
  [100] audit-227-cjs (0.00s)
  [100] audit-227-js (0.01s)
  [100] audit-agents-hashes (0.01s)
  [100] audit-canonical (0.00s)
  [100] audit-fix-remediate-safe (0.00s)
  [100] audit-prompts (0.01s)
  [100] audit-vscode-config (0.01s)
  [100] audit-vscode-config-v2 (0.00s)
  [100] batch-delete-profiles (0.00s)
  [100] batch-localappdata-skillcode (0.00s)
  [100] batch-remediate (0.01s)
  [100] batch-remediate-42-59 (0.01s)
  [100] batch-rewrite-worst (0.01s)
  [100] batch-skill-judge (0.01s)
  [100] batch-update-hermes-paths (0.00s)
  [100] batch-yaml-frontmatter-editing (0.01s)
  [100] benchmark-models (0.00s)
  [100] benchmark-providers (0.01s)
  [100] benchmark-results (0.01s)
  [100] benchmark-run-20260710 (0.01s)
  [100] binance-api-reference (0.01s)
  [100] binance-python-api-tutorial (0.00s)
  [100] boost-near-pass-refs (0.01s)
  [100] bootstrap (0.01s)
  [100] build-env (0.00s)
  [100] build-path-mapping (0.00s)
  [100] build-registry (0.01s)
  [100] bulk-install-skills (0.00s)
  [100] busha-api-quickstart (0.00s)
  [100] busha-business-api (0.01s)
  [100] busha-quick-start-guide (0.01s)
  [100] categorize-skills (0.00s)
  [100] check-handle (0.00s)
  [100] chrome-devtools (0.00s)
  [100] classify-fences (0.00s)
  [100] cleanup-disk (0.01s)
  [100] cleanup-inventory (0.00s)
  [100] cleanup-placeholder-stubs (0.00s)
  [100] comprehensive-enhance (0.01s)
  [100] configure-hermes (0.00s)
  [100] consolidate-skills (0.01s)
  [100] context-map (0.01s)
  [100] convert-groq-docs (0.00s)
  [100] convert-plaintext-to-md (0.01s)
  [100] copilot-mcp-server (0.00s)
  [100] create-agentsmd (0.00s)
  [100] create-implementation-plan (0.00s)
  [100] create-readme (0.00s)
  [100] crypto-wallet-api-guide (0.01s)
  [100] crypto-wallet-quickstart (0.00s)
  [100] cryptoapis-wallet-builder (0.00s)
  [100] dedupe-skills (0.01s)
  [100] dev-init-code-samples (0.01s)
  [100] docs-inventory-report (0.00s)
  [100] e2e-session-test (0.00s)
  [100] enhance-prompts (0.00s)
  [100] enhance-sections (0.01s)
  [100] env-sync (0.01s)
  [100] eslint-count (0.01s)
  [100] execute-all-prompts (0.00s)
  [100] execute-workflow (0.01s)
  [100] face-detection-uv4l-pi (0.00s)
  [100] fence-check (0.00s)
  [100] find-lock (0.00s)
  [100] find-locking-pid (0.00s)
  [100] fix-blank-lines (0.00s)
  [100] fix-canonical (0.01s)
  [100] fix-class-e (0.00s)
  [100] fix-collapsed-bullets (0.00s)
  [100] fix-collapsed-fences (0.01s)
  [100] fix-concatenated-headings (0.00s)
  [100] fix-copilot-frontmatter (0.00s)
  [100] fix-crlf-frontmatter (0.01s)
  [100] fix-duplicate-hooks (0.00s)
  [100] fix-eslint-mismatches (0.01s)
  [100] fix-fail-skills (0.01s)
  [100] fix-fence-glue (0.00s)
  [100] fix-fence-lang (0.00s)
  [100] fix-frontmatter (0.01s)
  [100] fix-frontmatter-plan (0.00s)
  [100] fix-frontmatter-yaml (0.01s)
  [100] fix-frontmatter-yaml-cjs (0.00s)
  [100] fix-github-prompts (0.00s)
  [100] fix-github-prompts-inline-lists (0.01s)
  [100] fix-github-prompts-remaining (0.00s)
  [100] fix-glued-headings (0.01s)
  [100] fix-glued-headings-batch2 (0.01s)
  [100] fix-glued-headings-manual (0.00s)
  [100] fix-line-endings (0.00s)
  [100] fix-midline-collapses (0.00s)
  [100] fix-missing-closers (0.01s)
  [100] fix-orphaned-brackets (0.00s)
  [100] fix-prompt-artifacts (0.00s)
  [100] fix-prompt-library (0.00s)
  [100] fix-prompts (0.01s)
  [100] fix-prompts-comprehensive (0.00s)
  [100] fix-repo-body (0.01s)
  [100] fix-repo-body2 (0.00s)
  [100] fix-residual-glue (0.00s)
  [100] fix-skills (0.00s)
  [100] fix-tail-generic (0.00s)
  [100] fix-tail-glue (0.00s)
  [100] fix-tail-glue2 (0.00s)
  [100] fix-tail-manual (0.01s)
  [100] fix-yaml-frontmatter (0.00s)
  [100] flutterwave-transfers-api (0.01s)
  [100] full-health-check (0.00s)
  [100] generate-context-files (0.00s)
  [100] generate-custom-instructions-from-codebase (0.01s)
  [100] generate-session-report (0.01s)
  [100] generate-skills (0.01s)
  [100] generate-vscode-audit-report (0.00s)
  [100] generate-vscode-configs (0.00s)
  [100] gh-hermes-scripts-migration-manifest (0.00s)
  [100] gh-hooks-plugins-audit-report (0.00s)
  [100] gh-path-audit (0.00s)
  [100] gh-prompt-dedupe-report (0.01s)
  [100] gh-prompt-frontmatter-normalization-report (0.00s)
  [100] gh-prompt-frontmatter-normalization-verification (0.00s)
  [100] gh-prompt-migration-manifest (0.00s)
  [100] health-check (0.01s)
  [100] hello (0.00s)
  [100] hello-world (0.00s)
  [100] hermes-deep-dive-guide (0.01s)
  [100] hermes-luma-memory-arch (0.01s)
  [100] hermes-networkchuck-course (0.00s)
  [100] hermes-persistent-memory (0.01s)
  [100] hermes-profile-sync (0.01s)
  [100] hermes-quickstart (0.01s)
  [100] hook-health-check (0.00s)
  [100] how-paypal-works (0.01s)
  [100] instruction-quick-commands (0.00s)
  [100] inventory-agents (0.00s)
  [100] inventory-prompts (0.01s)
  [100] joyride (0.00s)
  [100] lcs (0.01s)
  [100] list-cli-tools (0.01s)
  [100] litprog-skill (0.01s)
  [100] make-skill-template (0.00s)
  [100] memory-precompact (0.01s)
  [100] memory-repair (0.01s)
  [100] merge-config (0.01s)
  [100] merge-skill (0.00s)
  [100] microsoft-code-reference (0.00s)
  [100] microsoft-docs (0.01s)
  [100] microsoft-skill-creator (0.01s)
  [100] model-discovery (0.00s)
  [100] mypy (0.00s)
  [100] normalize-frontmatter (0.01s)
  [100] normalize-lf (0.00s)
  [100] normalize-plan-frontmatter (0.01s)
  [100] normalize-plans (0.00s)
  [100] normalize-prompt-actions (0.00s)
  [100] omo-doctor (0.00s)
  [100] package (0.00s)
  [100] package-lock (0.00s)
  [100] patch-all-fail-sections (0.00s)
  [100] patch-fail-structure (0.00s)
  [100] paypal-getting-started (0.00s)
  [100] paystack-dev-docs (0.00s)
  [100] paystack-getting-started (0.00s)
  [100] phase1-inventory (0.00s)
  [100] phase2-analysis (0.01s)
  [100] phase3-changelog (0.00s)
  [100] phase3-gate-check (0.00s)
  [100] phase4-reconstruct (0.00s)
  [100] phase4-reconstruct-cjs (0.00s)
  [100] phase4-verify (0.01s)
  [100] phase5-postapply (0.00s)
  [100] prime-factors (0.00s)
  [100] project (0.01s)
  [100] project-consolidation (0.00s)
  [100] prompt-audit-all (0.00s)
  [100] prompt-audit-all-cjs (0.00s)
  [100] prompt-batch-audit (0.00s)
  [100] prompt-builder (0.01s)
  [100] prompt-fix-metadata (0.00s)
  [100] prompt-inventory (0.01s)
  [100] prompt-repair-frontmatter (0.00s)
  [100] purge-dead-keys (0.00s)
  [100] python-quality-mcp-server (0.00s)
  [100] quarantine-skills (0.00s)
  [100] register-command (0.00s)
  [100] register-instruction-personalities (0.00s)
  [100] remediate-skills (0.00s)
  [100] remove-flat-duplicates (0.00s)
  [100] repair-codex-skills (0.01s)
  [100] repair-doubled-pipes (0.00s)
  [100] repair-frontmatter-closes (0.00s)
  [100] repair-yaml (0.00s)
  [100] repair-yaml-v2 (0.01s)
  [100] repo-plan-spec (0.00s)
  [100] repo-planning-quick-commands (0.01s)
  [100] reset-runtime (0.00s)
  [100] restore-repo-tables (0.01s)
  [100] review-pending-skills (0.01s)
  [100] run-cron-safe (0.00s)
  [100] score-docs (0.00s)
  [100] server-bootstrap (0.00s)
  [100] session-audit-227 (0.00s)
  [100] session-audit-227-cjs (0.00s)
  [100] setup-cto (0.00s)
  [100] setup-integrations (0.00s)
  [100] ship-this-idea (0.01s)
  [100] simplify (0.00s)
  [100] skill-audit (0.01s)
  [100] skill-creator (0.00s)
  [100] skill-management (0.01s)
  [100] skills-audit (0.00s)
  [100] split-glued-headings (0.01s)
  [100] status (0.00s)
  [100] subagent-dispatch-patterns (0.00s)
  [100] sweep-corruption (0.01s)
  [100] sync-profile-configs (0.00s)
  [100] sync-profile-memories (0.00s)
  [100] technology-stack-audit (0.00s)
  [100] test (0.00s)
  [100] test-models (0.01s)
  [100] tooling-config-mcp-server (0.00s)
  [100] tooling-full-check (0.01s)
  [100] tooling-lint-mcp-server (0.00s)
  [100] tooling-quick-commands (0.01s)
  [100] trim-banking (0.00s)
  [100] trim-remaining (0.00s)
  [100] trim-research-reports (0.00s)
  [100] trim-research-reports-final (0.00s)
  [100] tsconfig (0.01s)
  [100] uninstall (0.01s)
  [100] update-agents-md (0.00s)
  [100] update-implementation-plan (0.01s)
  [100] user-precompact (0.00s)
  [100] using-git-worktrees (0.01s)
  [100] validate-prompt-inventory (0.00s)
  [100] validate-prompts (0.00s)
  [100] validate-services (0.01s)
  [100] validate-skills (0.00s)
  [100] validate-vscode-configs (0.01s)
  [100] validate-vscode-json (0.01s)
  [100] validate-yaml (0.01s)
  [100] vault-key-sync (0.00s)
  [100] vault-key-validate (0.00s)
  [100] venv-freeze-before-security-fix (0.00s)
  [100] verify (0.00s)
  [100] verify-canonical (0.01s)
  [100] verify-frontmatter (0.01s)
  [100] verify-frontmatter-cjs (0.00s)
  [100] verify-frontmatter-normalization (0.00s)
  [100] verify-phase3 (0.00s)
  [100] verify-prompt-library (0.00s)
  [100] verify-sync (0.01s)
  [100] verify-templates-after-create (0.00s)
  [100] vision-fallback (0.00s)
  [100] vscode-cli (0.00s)
  [100] vscode-configuration (0.00s)
  [100] vscode-ext-commands (0.01s)
  [100] vscode-ext-localization (0.01s)
  [100] vscode-extension-playbook (0.00s)
  [100] vscode-workspace-configurator (0.00s)
  [100] win-ocr (0.01s)
  [100] writing-skills (0.00s)
  [100] agent-core-architecture (0.01s)
  [100] appinsights-instrumentation (0.00s)
  [100] asdf (0.00s)
  [100] aspire (0.01s)
  [100] azure-deployment-preflight (0.00s)
  [100] azure-devops-cli (0.01s)
  [100] azure-resource-visualizer (0.01s)
  [100] azure-role-selector (0.01s)
  [100] azure-static-web-apps (0.00s)
  [100] cli (0.01s)
  [100] customization-audit (0.01s)
  [100] datadog (0.00s)
  [100] dependabot (0.00s)
  [100] dependency-security-remediation (0.00s)
  [100] disk-space-cleanup (0.01s)
  [100] docker-management (0.01s)
  [100] entra-agent-user (0.00s)
  [100] fabric-lakehouse (0.01s)
  [100] git-history-preserving-migration (0.01s)
  [100] git-patch-management (0.01s)
  [100] github-actions-efficiency (0.01s)
  [100] glab (0.01s)
  [100] hermes-config-merge (0.01s)
  [100] hermes-diagnostic-repair (0.00s)
  [100] hermes-hooks (0.00s)
  [100] hermes-memory-sync (0.00s)
  [100] hermes-personality-soul (0.01s)
  [100] hermes-platform-debugging (0.01s)
  [100] hermes-profiles (0.01s)
  [100] hermes-s6-container-supervision (0.00s)
  [100] hermes-script-audit-prompts (0.01s)
  [100] hermes-script-fix-prompt-library (0.00s)
  [100] hermes-script-vault-key-validate (0.00s)
  [100] hermes-script-verify-sync (0.01s)
  [100] hermes-setup (0.01s)
  [100] hermes-skills (0.01s)
  [100] hermes-system-maintenance (0.01s)
  [100] jira (0.00s)
  [100] kanban-orchestrator (0.01s)
  [100] kanban-worker (0.00s)
  [100] log-analysis-and-triage (0.00s)
  [100] mcp-server-health (0.01s)
  [100] msys2-management (0.01s)
  [100] multi-stage-dockerfile (0.01s)
  [100] pending-store-apply (0.01s)
  [100] pinggy-tunnel (0.01s)
  [100] pnpm-package-manager (0.01s)
  [100] powerbi-modeling (0.00s)
  [100] profile-directive-sync (0.00s)
  [100] profile-maintenance (0.00s)
  [100] prompt-batch-fixer (0.01s)
  [100] provider-model-audit (0.00s)
  [100] provider-reliability-diagnostics (0.00s)
  [100] python-package-manager (0.01s)
  [100] rbac-audit-logging (0.01s)
  [100] repo-init (0.01s)
  [100] repo-management (0.01s)
  [100] sdlc-review (0.01s)
  [100] secret-scanning (0.01s)
  [100] service-integrations (0.00s)
  [100] session-audit-report (0.00s)
  [100] session-history-audit (0.00s)
  [100] snowflake-semanticview (0.00s)
  [100] soul-enhancer (0.01s)
  [100] tailscale (0.01s)
  [100] terraform-azurerm-set-diff-analyzer (0.01s)
  [100] test-providers-models (0.01s)
  [100] tmux-terminal-multiplexer (0.00s)
  [100] tooling-config (0.01s)
  [100] tooling-implementation (0.01s)
  [100] uv-package-manager (0.01s)
  [100] validate-memories (0.01s)
  [100] vscode-config-audit (0.00s)
  [100] watchers (0.01s)
  [100] webhook-subscriptions (0.00s)
  [100] windows-dev-environment (0.00s)
  [100] windows-package-management (0.01s)
  [100] work-on-ticket (0.01s)
  [100] workspace-audit (0.00s)
  [100] yaml-workflow-validation (0.00s)
  [100] django-application (0.01s)
  [100] django-celery (0.00s)
  [100] scraped-docs-to-markdown (0.01s)
  [100] drawio-skill (0.00s)
  [100] agentmail (0.01s)
  [100] himalaya (0.01s)
  [100] enhance-prompt (0.00s)
  [100] 3-statement-model (0.01s)
  [100] boost-prompts (0.00s)
  [100] comps-analysis (0.01s)
  [100] dcf-model (0.01s)
  [100] excel-author (0.00s)
  [100] lbo-model (0.00s)
  [100] merger-model (0.01s)
  [100] pptx-author (0.01s)
  [100] stocks (0.01s)
  [100] fix-prompt-frontmatter (0.01s)
  [100] minecraft-modpack-server (0.01s)
  [100] pokemon-player (0.01s)
  [100] codebase-inspection (0.00s)
  [100] finishing-a-development-branch (0.01s)
  [100] gh-cli (0.00s)
  [100] git-commit (0.01s)
  [100] git-helper (0.00s)
  [100] git-multi-repo-orchestration (0.01s)
  [100] git-submodule-workflow (0.01s)
  [100] github-repo-management (0.00s)
  [100] github-workflows (0.01s)
  [100] github (0.01s)
  [100] sponsor-finder (0.01s)
  [100] fitness-nutrition (0.00s)
  [100] neuroskill-bci (0.01s)
  [100] hermes-desktop-plugins (0.01s)
  [100] hermes-hook-cleanup (0.01s)
  [100] hermes-profile-memory-sync (0.00s)
  [100] hermes-themes (0.01s)
  [100] hooks-pattern (0.01s)
  [100] joystick-controller (0.01s)
  [100] introspection-only-general (0.01s)
  [100] fastmcp (0.00s)
  [100] hermes-mcp (0.01s)
  [100] mcp-ast-grep (0.01s)
  [100] mcp-builder (0.01s)
  [100] mcp-cli (0.01s)
  [100] mcp-code-sandbox (0.00s)
  [100] mcp-codex (0.00s)
  [100] mcp-docker (0.00s)
  [100] mcp-fetch (0.00s)
  [100] mcp-filesystem (0.01s)
  [100] mcp-github (0.01s)
  [100] mcp-memory (0.00s)
  [100] mcp-mindstudio (0.00s)
  [100] mcp-oauth-remote-gateway (0.01s)
  [100] mcp-playwright (0.00s)
  [100] mcp-security-audit (0.01s)
  [100] mcp-sequential-thinking (0.00s)
  [100] mcp-smithery (0.01s)
  [100] mcporter (0.01s)
  [100] native-mcp (0.00s)
  [100] smithery-ai-cli (0.01s)
  [100] mcp-coding-agent-setup (0.00s)
  [100] mcp-server-diagnostics (0.01s)
  [100] gif-search (0.01s)
  [100] slack-gif-creator (0.00s)
  [100] songsee (0.01s)
  [100] spotify (0.01s)
  [100] transloadit-media-processing (0.00s)
  [100] youtube-content (0.00s)
  [100] youtube-full (0.01s)
  [100] openclaw-migration (0.00s)
  [100] accelerate (0.00s)
  [100] chroma (0.01s)
  [100] clip (0.00s)
  [100] evaluating-llms-harness (0.00s)
  [100] weights-and-biases (0.00s)
  [100] faiss (0.01s)
  [100] flash-attention (0.00s)
  [100] guidance (0.01s)
  [100] huggingface-hub (0.00s)
  [100] huggingface-tokenizers (0.00s)
  [100] llama-cpp (0.01s)
  [100] outlines (0.01s)
  [100] serving-llms-vllm (0.00s)
  [100] instructor (0.01s)
  [100] lambda-labs (0.00s)
  [100] llava (0.01s)
  [100] llm-provider-benchmarking (0.00s)
  [100] ml-models (0.01s)
  [100] modal (0.01s)
  [100] audiocraft (0.01s)
  [100] segment-anything (0.01s)
  [100] nemo-curator (0.02s)
  [100] obliteratus (0.01s)
  [100] peft (0.01s)
  [100] pinecone (0.00s)
  [100] pytorch-fsdp (0.01s)
  [100] pytorch-lightning (0.00s)
  [100] qdrant (0.01s)
  [100] dspy (0.01s)
  [100] saelens (0.00s)
  [100] simpo (0.01s)
  [100] slime (0.00s)
  [100] stable-diffusion (0.01s)
  [100] tensorrt-llm (0.01s)
  [100] torchtitan (0.01s)
  [100] axolotl (0.01s)
  [100] trl-fine-tuning (0.00s)
  [100] unsloth (0.01s)
  [100] whisper (0.00s)
  [100] no-git-delete (0.01s)
  [100] no-net-fetch (0.01s)
  [100] note-taking-apps (0.01s)
  [100] auto-issue-triage (0.01s)
  [100] await-merge-approval (0.01s)
  [100] choose-engine (0.00s)
  [100] clarify-requirements (0.00s)
  [100] connect-supabase (0.01s)
  [100] create-github-pr (0.00s)
  [100] create-skill (0.00s)
  [100] creative-production (0.00s)
  [100] cto-status-report (0.00s)
  [100] deploy-to-vercel (0.00s)
  [100] design-handoff (0.00s)
  [100] failure-recovery (0.01s)
  [100] generate-with-seedance (0.00s)
  [100] implement-with-claude-code (0.00s)
  [100] implement-with-codex (0.01s)
  [100] kanban-task (0.00s)
  [100] manage-github-issues (0.01s)
  [100] observe-logs (0.00s)
  [100] onboarding (0.01s)
  [100] post-deploy-followup (0.00s)
  [100] product-brief (0.00s)
  [100] product-marketing (0.00s)
  [100] project-status (0.01s)
  [100] project-switch (0.00s)
  [100] publish-with-buffer (0.00s)
  [100] review-github-pr (0.00s)
  [100] rollback (0.01s)
  [100] security-review (0.01s)
  [100] send-notification (0.00s)
  [100] setup-monitoring (0.01s)
  [100] mpp-agent (0.00s)
  [100] paypal-how-it-works (0.00s)
  [100] stripe-link-cli (0.00s)
  [100] stripe-projects (0.01s)
  [100] brainstorming (0.00s)
  [100] implementation-plan (0.00s)
  [100] notion-spec-to-implementation (0.01s)
  [100] plans-and-specs (0.01s)
  [100] prompt-planning-orchestration (0.01s)
  [100] repo-planning (0.01s)
  [100] prd (0.00s)
  [100] airtable (0.01s)
  [100] box (0.00s)
  [100] canvas (0.01s)
  [100] doc-coauthoring (0.01s)
  [100] documentation-writer (0.01s)
  [100] docx (0.00s)
  [100] file-organizer (0.01s)
  [100] finnish-humanizer (0.00s)
  [100] google-workspace (0.00s)
  [100] here-now (0.01s)
  [100] internal-comms (0.01s)
  [100] linear (0.00s)
  [100] maps (0.01s)
  [100] markdown-to-html (0.01s)
  [100] meeting-insights-analyzer (0.00s)
  [100] meeting-minutes (0.00s)
  [100] memento-flashcards (0.00s)
  [100] nano-pdf (0.01s)
  [100] notion (0.01s)
  [100] ocr-and-documents (0.01s)
  [100] pdf (0.01s)
  [100] pdftk-server (0.00s)
  [100] petdex (0.01s)
  [100] powerpoint (0.01s)
  [100] pptx (0.01s)
  [100] product-price-monitor (0.01s)
  [100] prompt-management (0.00s)
  [100] session-librarian (0.01s)
  [100] shop (0.01s)
  [100] shopify (0.01s)
  [100] siyuan (0.00s)
  [100] task-management (0.01s)
  [100] teams-meeting-pipeline (0.00s)
  [100] telephony (0.01s)
  [100] tui-widgets (0.00s)
  [100] user-communication-preferences (0.00s)
  [100] weekly-review-planning (0.01s)
  [100] xlsx (0.01s)
  [100] yuanbao (0.00s)
  [100] create-missing-memories (0.01s)
  [100] create-missing-souls (0.00s)
  [100] prompt-engineering (0.00s)
  [100] prompt-engineering-patterns (0.00s)
  [100] prompt-library-consolidation (0.00s)
  [100] prompt-library-maintenance (0.01s)
  [100] audit-skills-judge-fix (0.01s)
  [100] batch-skills-remediation (0.01s)
  [100] boilerplate-stripper (0.00s)
  [100] complete-issue-inventory (0.01s)
  [100] playwright-automation-fill-in-form (0.01s)
  [100] playwright-generate-e2e-test (0.01s)
  [100] playwright-generate-test (0.00s)
  [100] polyglot-test-agent (0.00s)
  [100] postgresql-code-review (0.00s)
  [100] scoutqa-test (0.00s)
  [100] session-audit (0.01s)
  [100] skill-judge (0.01s)
  [100] skill-library-audit (0.00s)
  [100] skills-tools-preflight-check (0.00s)
  [100] test-skill (0.01s)
  [100] verification-before-completion (0.01s)
  [100] web-design-reviewer (0.00s)
  [100] webapp-testing (0.00s)
  [100] api-tutorial-catalog (0.01s)
  [100] discover-mcp-capabilities (0.01s)
  [100] image-vision-fallback (0.00s)
  [100] mcp-server-catalog (0.01s)
  [100] project-architecture-index (0.01s)
  [100] bioinformatics (0.00s)
  [100] darwinian-evolver (0.00s)
  [100] domain-intel (0.00s)
  [100] drug-discovery (0.01s)
  [100] duckduckgo-search (0.00s)
  [100] earnings-platform-research (0.00s)
  [100] gitnexus-explorer (0.01s)
  [100] llm-wiki (0.01s)
  [100] osint-investigation (0.00s)
  [100] parallel-cli (0.00s)
  [100] parallel-cli-web-research (0.00s)
  [100] polymarket (0.00s)
  [100] qmd (0.01s)
  [100] repo-research-pipeline (0.01s)
  [100] research-actionable-kit (0.01s)
  [100] research-toolkit (0.01s)
  [100] scrapling (0.00s)
  [100] searxng-search (0.00s)
  [100] web-research-pipeline (0.01s)
  [100] search-skills-plugins-subagents (0.00s)
  [100] 1password (0.01s)
  [100] env-credential-hydration (0.00s)
  [100] godmode (0.01s)
  [100] oss-forensics (0.01s)
  [100] sherlock (0.00s)
  [100] unbroker (0.01s)
  [100] web-pentest (0.01s)
  [100] shop-app (0.01s)
  [100] openhue (0.01s)
  [100] xurl (0.00s)
  [100] banking (0.01s)
  [100] bash-scripts-audit-remediation (0.01s)
  [100] caveman-unified (0.00s)
  [100] claude-api (0.00s)
  [100] clonedeps (0.01s)
  [100] code-docs (0.00s)
  [100] code-wiki (0.01s)
  [100] codemap (0.01s)
  [100] context7 (0.00s)
  [100] debugging-hermes-tui-commands (0.00s)
  [100] executing-plans (0.00s)
  [100] executing-prompt-workflows (0.01s)
  [100] fluentui-blazor (0.00s)
  [100] generator-first-doc-workflow (0.00s)
  [100] hermes-agent-skill-authoring (0.01s)
  [100] httpie (0.00s)
  [100] inspecting-hermes-desktop-dom (0.00s)
  [100] mindstudio-wrapper (0.01s)
  [100] node-build-verification (0.00s)
  [100] nuget-manager (0.01s)
  [100] opencode-driven-development (0.00s)
  [100] package-manager-migration (0.00s)
  [100] plan (0.00s)
  [100] project-docs (0.01s)
  [100] project-research-reports (0.01s)
  [100] python-quality (0.01s)
  [100] quasi-coder (0.01s)
  [100] receiving-code-review (0.00s)
  [100] refactor (0.01s)
  [100] requesting-code-review (0.01s)
  [100] rest-graphql-debug (0.00s)
  [100] sandbox (0.00s)
  [100] script-orchestration (0.00s)
  [100] shadcn (0.01s)
  [100] simplify-code (0.00s)
  [100] spike (0.01s)
  [100] subagent-driven-development (0.01s)
  [100] systematic-debugging (0.01s)
  [100] test-driven-development (0.00s)
  [100] tooling-lint (0.00s)
  [100] winapp-cli (0.01s)
  [100] worktrunk (0.01s)
  [100] writing-plans (0.00s)
  [100] wezterm-terminal-config (0.00s)
  [100] cloudflare-temporary-deploy (0.01s)
  [100] firecrawl-agent (0.01s)
  [100] firecrawl-crawl (0.01s)
  [100] firecrawl-download (0.00s)
  [100] firecrawl-map (0.01s)
  [100] firecrawl-scrape (0.00s)
  [100] firecrawl-search (0.00s)
  [100] page-agent (0.00s)

Average score: 100.0
Total time: 4.14s
